kraj-druh-R-M,id_kraj,rok,mesic,druh,cena,fdbi70,fdbi85,fdbi100,pdb
1005-133-2009-4,1005,2009,4,133,2665089.506,70.6,71.8,75.4,8.46
1006-133-2009-4,1006,2009,4,133,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
1007-133-2009-4,1007,2009,4,133,2260792,62.7,63.8,67.0,7.51
1008-133-2009-4,1008,2009,4,133,1847351,49.6,50.4,53.0,5.94
1010-133-2009-4,1010,2009,4,133,2060302.778,52.2,53.1,55.8,6.26
1011-133-2009-4,1011,2009,4,133,3233165.456,74.0,75.3,79.1,8.87
1013-133-2009-4,1013,2009,4,133,1218992.238,33.4,34.0,35.7,4.00
2002-133-2009-4,2002,2009,4,133,3325173.618,87.4,88.9,93.4,10.47
2009-133-2009-4,2009,2009,4,133,2156140.736,59.2,60.2,63.2,7.09
2012-133-2009-4,2012,2009,4,133,1754595.501,49.2,50.0,52.6,5.89
2014-133-2009-4,2014,2009,4,133,2450500,63.6,64.7,68.0,7.62
0-113-2009-4,0,2009,4,113,1246090,29.5,30.0,31.6,3.54
0-123-2009-4,0,2009,4,123,1615031,38.3,38.9,40.9,4.59
0-126-2009-4,0,2009,4,126,1955602,46.4,47.2,49.5,5.55
0-133-2009-4,0,2009,4,133,2662110,63.1,64.2,67.4,7.56
1001-0-2009-4,1001,2009,4,0,4079237.316,87.3,88.7,93.2,10.46
1003-0-2009-4,1003,2009,4,0,1528356.36,39.6,40.3,42.4,4.75
1004-0-2009-4,1004,2009,4,0,1634336.12,43.6,44.3,46.6,5.22
1005-0-2009-4,1005,2009,4,0,1724894.663,45.7,46.4,48.8,5.47
1006-0-2009-4,1006,2009,4,0,1362434.659,34.5,35.1,36.9,4.13
1007-0-2009-4,1007,2009,4,0,1425230.407,39.5,40.2,42.2,4.73
1008-0-2009-4,1008,2009,4,0,1324634.32,35.5,36.1,38.0,4.26
1010-0-2009-4,1010,2009,4,0,1954280.366,49.5,50.4,52.9,5.93
1011-0-2009-4,1011,2009,4,0,2035738.036,46.6,47.4,49.8,5.58
1013-0-2009-4,1013,2009,4,0,876968.4545,24.0,24.4,25.7,2.88
2002-0-2009-4,2002,2009,4,0,2184356.616,57.4,58.4,61.3,6.88
2009-0-2009-4,2009,2009,4,0,1608513.765,44.1,44.9,47.2,5.29
2012-0-2009-4,2012,2009,4,0,1223757.879,34.3,34.9,36.7,4.11
2014-0-2009-4,2014,2009,4,0,1579965.074,41.0,41.7,43.8,4.91
0-0-2009-4,0,2009,4,0,2107119,50.0,50.8,53.4,5.99
1001-113-2009-5,1001,2009,5,113,2431022.746,51.3,52.3,54.8,6.15
1003-113-2009-5,1003,2009,5,113,1180464,30.4,31.0,32.5,3.65
1004-113-2009-5,1004,2009,5,113,1144901.58,30.3,30.9,32.4,3.64
1005-113-2009-5,1005,2009,5,113,1153656.904,30.2,30.8,32.3,3.63
1006-113-2009-5,1006,2009,5,113,895946,22.5,23.0,24.1,2.70
1007-113-2009-5,1007,2009,5,113,919312.2215,25.3,25.8,27.0,3.03
1008-113-2009-5,1008,2009,5,113,937611.9103,24.9,25.4,26.7,2.99
1010-113-2009-5,1010,2009,5,113,1261387,31.8,32.5,34.0,3.82
1011-113-2009-5,1011,2009,5,113,1362959.159,30.8,31.4,33.0,3.70
1013-113-2009-5,1013,2009,5,113,564162.022,15.4,15.7,16.4,1.84
2002-113-2009-5,2002,2009,5,113,1354221.157,35.2,35.9,37.6,4.22
2009-113-2009-5,2009,2009,5,113,1114716.754,30.4,31.0,32.5,3.64
2012-113-2009-5,2012,2009,5,113,775646.2993,21.6,22.0,23.1,2.59
2014-113-2009-5,2014,2009,5,113,1028532.096,26.4,26.9,28.2,3.16
1001-123-2009-5,1001,2009,5,123,3472796.923,73.3,74.7,78.3,8.79
1003-123-2009-5,1003,2009,5,123,1464302.6,37.7,38.4,40.3,4.52
1004-123-2009-5,1004,2009,5,123,1535216.795,40.7,41.5,43.5,4.88
1005-123-2009-5,1005,2009,5,123,1660677.016,43.5,44.4,46.5,5.22
1006-123-2009-5,1006,2009,5,123,1266191.524,31.8,32.5,34.0,3.82
1007-123-2009-5,1007,2009,5,123,1123662.202,30.9,31.5,33.0,3.71
1008-123-2009-5,1008,2009,5,123,1308900.139,34.8,35.5,37.2,4.18
1010-123-2009-5,1010,2009,5,123,1833237,46.3,47.2,49.5,5.55
1011-123-2009-5,1011,2009,5,123,1745636.89,39.5,40.3,42.2,4.74
1013-123-2009-5,1013,2009,5,123,744940.0077,20.3,20.7,21.7,2.43
2002-123-2009-5,2002,2009,5,123,1839895.128,47.8,48.7,51.1,5.74
2009-123-2009-5,2009,2009,5,123,1462164.219,39.9,40.6,42.6,4.78
2012-123-2009-5,2012,2009,5,123,1094205.521,30.5,31.1,32.6,3.65
2014-123-2009-5,2014,2009,5,123,1464253.956,37.6,38.3,40.2,4.51
1001-126-2009-5,1001,2009,5,126,4729352.337,99.8,101.7,106.7,11.97
