kraj_index,byt_index,datum,cena,pdb,fdbi70,fdbi85,fdbi100
5,1,2009-05-01,1123662,3.71,0.31,0.32,0.33
6,1,2009-05-01,1308900,4.18,0.35,0.35,0.37
7,1,2009-05-01,1833237,5.55,0.46,0.47,0.49
8,1,2009-05-01,1745636,4.74,0.40,0.40,0.42
9,1,2009-05-01,744940,2.43,0.20,0.21,0.22
10,1,2009-05-01,1839895,5.74,0.48,0.49,0.51
11,1,2009-05-01,1462164,4.78,0.40,0.41,0.43
12,1,2009-05-01,1094205,3.65,0.30,0.31,0.33
13,1,2009-05-01,1464253,4.51,0.38,0.38,0.40
0,2,2009-05-01,4729352,11.97,1.00,1.02,1.07
1,2,2009-05-01,1647089,5.09,0.42,0.43,0.45
2,2,2009-05-01,1776133,5.64,0.47,0.48,0.50
3,2,2009-05-01,1889564,5.94,0.49,0.51,0.53
4,2,2009-05-01,1507675,4.55,0.38,0.39,0.41
5,2,2009-05-01,1679207,5.54,0.46,0.47,0.49
6,2,2009-05-01,1342698,4.28,0.36,0.36,0.38
7,2,2009-05-01,2352286,7.12,0.59,0.60,0.64
8,2,2009-05-01,2262079,6.14,0.51,0.52,0.55
9,2,2009-05-01,970009,3.17,0.26,0.27,0.28
10,2,2009-05-01,2482210,7.74,0.65,0.66,0.69
11,2,2009-05-01,1781820,5.83,0.49,0.49,0.52
12,2,2009-05-01,1353998,4.52,0.38,0.38,0.40
13,2,2009-05-01,1678867,5.17,0.43,0.44,0.46
0,3,2009-05-01,6471814,16.38,1.36,1.39,1.46
1,3,2009-05-01,2070079,6.40,0.53,0.54,0.57
2,3,2009-05-01,2797141,8.89,0.74,0.76,0.79
3,3,2009-05-01,2593577,8.16,0.68,0.69,0.73
5,3,2009-05-01,2175073,7.18,0.60,0.61,0.64
6,3,2009-05-01,1820984,5.81,0.48,0.49,0.52
7,3,2009-05-01,2052914,6.22,0.52,0.53,0.55
8,3,2009-05-01,3187625,8.65,0.72,0.73,0.77
